delivery_id,order_id,courier_partner,shipment_date,delivery_date,delivery_status,delivery_charges,customer_rating
1,1,Daraz Express (DEX),2024-01-18 00:00:00,,On Time,250,4
2,2,Daraz Express (DEX),2024-02-05 00:00:00,2024-02-07 00:00:00,On Time,150,5
3,3,Daraz Express (DEX),2024-02-16 00:00:00,2024-02-17 00:00:00,On Time,150,5
4,4,Daraz Express (DEX),2024-02-20 00:00:00,2024-02-23 00:00:00,On Time,150,3
5,5,TCS,2024-02-21 00:00:00,2024-02-22 00:00:00,On Time,150,3
6,7,Daraz Express (DEX),2024-02-24 00:00:00,2024-02-25 00:00:00,On Time,150,4
7,8,Daraz Express (DEX),2024-02-25 00:00:00,2024-02-27 00:00:00,On Time,150,5
8,9,Daraz Express (DEX),2024-02-25 00:00:00,2024-02-27 00:00:00,On Time,150,4
9,10,TCS,2024-03-04 00:00:00,2024-03-05 00:00:00,On Time,150,4
10,11,Daraz Express (DEX),2024-03-11 00:00:00,2024-03-12 00:00:00,On Time,150,5
11,12,Daraz Express (DEX),2024-03-12 00:00:00,2024-03-13 00:00:00,On Time,150,4
12,13,Daraz Express (DEX),2024-03-12 00:00:00,2024-03-13 00:00:00,On Time,150,5
13,14,Leopard Courier,2024-03-15 00:00:00,2024-03-20 00:00:00,Delayed,150,2
14,15,TCS,2024-03-15 00:00:00,2024-03-20 00:00:00,On Time,250,4
15,16,Daraz Express (DEX),2024-03-16 00:00:00,2024-03-17 00:00:00,On Time,150,5
16,18,TCS,2024-03-16 00:00:00,,On Time,150,3
17,19,Daraz Express (DEX),2024-03-17 00:00:00,2024-03-18 00:00:00,On Time,150,4
18,20,Daraz Express (DEX),2024-03-16 00:00:00,2024-03-17 00:00:00,On Time,150,5
19,21,Daraz Express (DEX),2024-03-17 00:00:00,2024-03-20 00:00:00,On Time,150,4
20,22,Leopard Courier,2024-03-18 00:00:00,2024-03-22 00:00:00,On Time,150,4
21,23,Daraz Express (DEX),2024-03-18 00:00:00,2024-03-19 00:00:00,On Time,150,5
22,24,Leopard Courier,2024-03-18 00:00:00,2024-03-23 00:00:00,Delayed,150,2
23,25,Daraz Express (DEX),2024-03-18 00:00:00,2024-03-20 00:00:00,On Time,150,3
24,26,Daraz Express (DEX),2024-03-18 00:00:00,2024-03-21 00:00:00,On Time,150,4
25,27,TCS,2024-03-19 00:00:00,2024-03-21 00:00:00,On Time,150,3
26,28,TCS,2024-03-18 00:00:00,2024-03-19 00:00:00,On Time,150,4
27,29,Daraz Express (DEX),2024-03-19 00:00:00,2024-03-20 00:00:00,On Time,150,4
28,31,Daraz Express (DEX),2024-03-20 00:00:00,2024-03-22 00:00:00,Returned to Sender,150,1
29,32,Daraz Express (DEX),2024-03-21 00:00:00,2024-03-23 00:00:00,On Time,150,5
30,33,TCS,2024-03-22 00:00:00,2024-03-26 00:00:00,On Time,150,4
31,34,Daraz Express (DEX),2024-03-23 00:00:00,2024-03-26 00:00:00,On Time,150,4
32,35,Daraz Express (DEX),2024-03-23 00:00:00,2024-03-25 00:00:00,On Time,150,4
33,36,Daraz Express (DEX),2024-03-23 00:00:00,2024-03-24 00:00:00,On Time,150,3
34,37,TCS,2024-03-22 00:00:00,2024-03-26 00:00:00,On Time,150,5
35,38,Daraz Express (DEX),2024-03-23 00:00:00,2024-03-25 00:00:00,On Time,150,5
36,39,Daraz Express (DEX),2024-03-23 00:00:00,2024-03-24 00:00:00,On Time,150,4
37,40,Leopard Courier,2024-03-24 00:00:00,2024-03-26 00:00:00,On Time,150,3
38,41,Daraz Express (DEX),2024-03-24 00:00:00,2024-03-25 00:00:00,Returned to Sender,150,2
39,42,TCS,2024-03-25 00:00:00,2024-03-27 00:00:00,On Time,150,4
40,43,Daraz Express (DEX),2024-03-25 00:00:00,2024-03-26 00:00:00,On Time,150,5
41,44,Daraz Express (DEX),2024-03-25 00:00:00,2024-03-28 00:00:00,On Time,150,5
42,45,TCS,2024-03-26 00:00:00,2024-03-28 00:00:00,Returned to Sender,150,3
43,46,Daraz Express (DEX),2024-03-27 00:00:00,2024-03-30 00:00:00,On Time,150,5
44,47,TCS,2024-03-26 00:00:00,2024-03-27 00:00:00,On Time,150,4
45,48,Daraz Express (DEX),2024-03-27 00:00:00,2024-03-28 00:00:00,On Time,150,4
46,49,Leopard Courier,2024-03-29 00:00:00,2024-04-02 00:00:00,On Time,150,4
47,50,Daraz Express (DEX),2024-03-28 00:00:00,2024-03-29 00:00:00,On Time,150,5
48,51,TCS,2024-03-28 00:00:00,2024-03-31 00:00:00,On Time,150,5
49,52,Daraz Express (DEX),2024-03-30 00:00:00,2024-03-31 00:00:00,On Time,150,4
