delivery_id,order_id,courier_partner,shipment_date,delivery_date,delivery_status,delivery_charges,customer_rating,transit_days
1,1,Daraz Express (DEX),2024-01-18,,On Time,250,4,
2,2,Daraz Express (DEX),2024-02-05,2024-02-07,On Time,150,5,2.0
3,3,Daraz Express (DEX),2024-02-16,2024-02-17,On Time,150,5,1.0
4,4,Daraz Express (DEX),2024-02-20,2024-02-23,On Time,150,3,3.0
5,5,TCS,2024-02-21,2024-02-22,On Time,150,3,1.0
6,7,Daraz Express (DEX),2024-02-24,2024-02-25,On Time,150,4,1.0
7,8,Daraz Express (DEX),2024-02-25,2024-02-27,On Time,150,5,2.0
8,9,Daraz Express (DEX),2024-02-25,2024-02-27,On Time,150,4,2.0
9,10,TCS,2024-03-04,2024-03-05,On Time,150,4,1.0
10,11,Daraz Express (DEX),2024-03-11,2024-03-12,On Time,150,5,1.0
11,12,Daraz Express (DEX),2024-03-12,2024-03-13,On Time,150,4,1.0
12,13,Daraz Express (DEX),2024-03-12,2024-03-13,On Time,150,5,1.0
13,14,Leopard Courier,2024-03-15,2024-03-20,Delayed,150,2,5.0
14,15,TCS,2024-03-15,2024-03-20,On Time,250,4,5.0
15,16,Daraz Express (DEX),2024-03-16,2024-03-17,On Time,150,5,1.0
16,18,TCS,2024-03-16,,On Time,150,3,
17,19,Daraz Express (DEX),2024-03-17,2024-03-18,On Time,150,4,1.0
18,20,Daraz Express (DEX),2024-03-16,2024-03-17,On Time,150,5,1.0
19,21,Daraz Express (DEX),2024-03-17,2024-03-20,On Time,150,4,3.0
20,22,Leopard Courier,2024-03-18,2024-03-22,On Time,150,4,4.0
21,23,Daraz Express (DEX),2024-03-18,2024-03-19,On Time,150,5,1.0
22,24,Leopard Courier,2024-03-18,2024-03-23,Delayed,150,2,5.0
23,25,Daraz Express (DEX),2024-03-18,2024-03-20,On Time,150,3,2.0
24,26,Daraz Express (DEX),2024-03-18,2024-03-21,On Time,150,4,3.0
