order_item_id,order_id,product_id,quantity,unit_price,discount_rate,net_amount,item_cost,net_profit
1,1,41,1,1350,0.2,1080.0,900.0,180.0
2,2,16,1,12250,0.15,10412.5,9490.0,922.5
3,3,42,1,270,0.0,270.0,210.0,60.0
4,4,30,1,1520,0.0,1520.0,1200.0,320.0
5,5,29,1,1560,0.0,1560.0,1040.0,520.0
6,6,38,1,1700,0.05,1615.0,1130.0,485.0
7,7,38,1,1700,0.0,1700.0,1130.0,570.0
8,8,37,1,590,0.15,501.5,490.0,11.5
9,8,41,2,1350,0.1,2430.0,1800.0,630.0
10,8,25,1,3460,0.0,3460.0,2890.0,570.0
11,9,30,1,1520,0.15,1292.0,1200.0,92.0
12,10,11,1,1350,0.0,1350.0,990.0,360.0
13,10,22,1,2420,0.0,2420.0,1660.0,760.0
14,11,17,1,3160,0.0,3160.0,2330.0,830.0
15,12,37,1,590,0.0,590.0,490.0,100.0
16,13,24,1,2530,0.15,2150.5,1950.0,200.5
17,14,14,2,71610,0.2,114576.0,97300.0,17276.0
18,14,38,1,1700,0.1,1530.0,1130.0,400.0
19,15,27,1,3180,0.0,3180.0,2660.0,520.0
20,15,4,2,25790,0.0,51580.0,37360.0,14220.0
21,16,12,1,2440,0.0,2440.0,1830.0,610.0
22,17,6,1,56540,0.0,56540.0,46470.0,10070.0
23,17,24,1,2530,0.0,2530.0,1950.0,580.0
24,18,23,1,2690,0.1,2421.0,1790.0,631.0
25,19,16,1,12250,0.05,11637.5,9490.0,2147.5
26,20,13,1,58360,0.1,52524.0,42390.0,10134.0
27,20,8,1,43370,0.05,41201.5,31940.0,9261.5
28,21,13,1,58360,0.0,58360.0,42390.0,15970.0
29,22,26,1,5570,0.0,5570.0,4560.0,1010.0
30,23,2,1,42320,0.0,42320.0,29130.0,13190.0
31,23,38,1,1700,0.2,1360.0,1130.0,230.0
32,23,18,1,4080,0.15,3468.0,2830.0,638.0
33,23,12,1,2440,0.1,2196.0,1830.0,366.0
34,24,29,1,1560,0.2,1248.0,1040.0,208.0
35,25,26,2,5570,0.1,10026.0,9120.0,906.0
36,26,14,1,71610,0.05,68029.5,48650.0,19379.5
37,27,36,1,2070,0.1,1863.0,1680.0,183.0
38,28,1,2,30310,0.1,54558.0,46260.0,8298.0
39,29,37,1,590,0.0,590.0,490.0,100.0
40,30,27,1,3180,0.0,3180.0,2660.0,520.0
41,30,1,1,30310,0.15,25763.5,23130.0,2633.5
42,31,22,1,2420,0.0,2420.0,1660.0,760.0
43,32,27,2,3180,0.1,5724.0,5320.0,404.0
44,32,22,3,2420,0.0,7260.0,4980.0,2280.0
45,32,6,1,56540,0.0,56540.0,46470.0,10070.0
46,33,16,1,12250,0.1,11025.0,9490.0,1535.0
47,33,37,1,590,0.05,560.5,490.0,70.5
48,34,9,1,790,0.0,790.0,620.0,170.0
49,35,32,1,14930,0.05,14183.5,10030.0,4153.5
50,36,16,1,12250,0.0,12250.0,9490.0,2760.0
51,37,33,1,13050,0.0,13050.0,9860.0,3190.0
52,37,22,1,2420,0.05,2299.0,1660.0,639.0
53,38,24,1,2530,0.1,2277.0,1950.0,327.0
54,39,29,1,1560,0.0,1560.0,1040.0,520.0
55,39,15,1,39400,0.2,31520.0,30030.0,1490.0
