order_id,customer_id,order_date,payment_method,payment_status,total_amount,discount_applied,order_status
1,611,2024-01-17,JazzCash,Success,1080.0,270.0,Cancelled
2,299,2024-02-05,Cash on Delivery,Success,10412.5,1837.5,Delivered
3,299,2024-02-16,Cash on Delivery,Success,270.0,0.0,Delivered
4,461,2024-02-19,Cash on Delivery,Success,1520.0,0.0,Delivered
5,1881,2024-02-19,Cash on Delivery,Success,1560.0,0.0,Delivered
6,1954,2024-02-21,Cash on Delivery,Success,1615.0,85.0,Cancelled
7,1825,2024-02-24,Cash on Delivery,Success,1700.0,0.0,Delivered
8,1919,2024-02-24,Cash on Delivery,Success,6391.5,358.5,Delivered
9,1942,2024-02-25,Cash on Delivery,Success,1292.0,228.0,Delivered
10,216,2024-03-04,Credit/Debit Card,Success,3770.0,0.0,Delivered
11,127,2024-03-10,JazzCash,Success,3160.0,0.0,Delivered
12,1358,2024-03-11,Cash on Delivery,Success,590.0,0.0,Delivered
13,2471,2024-03-12,Credit/Debit Card,Success,2150.5,379.5,Delivered
14,1649,2024-03-13,Credit/Debit Card,Success,116106.0,28814.0,Delivered
15,2375,2024-03-13,Credit/Debit Card,Success,54760.0,0.0,Delivered
16,299,2024-03-14,Cash on Delivery,Success,2440.0,0.0,Delivered
17,691,2024-03-14,Cash on Delivery,Success,59070.0,0.0,Cancelled
18,1410,2024-03-14,JazzCash,Success,2421.0,269.0,Cancelled
19,3,2024-03-15,Cash on Delivery,Success,11637.5,612.5,Delivered
20,421,2024-03-15,Credit/Debit Card,Success,93725.5,8004.5,Delivered
21,770,2024-03-16,Cash on Delivery,Success,58360.0,0.0,Delivered
22,1392,2024-03-16,Cash on Delivery,Success,5570.0,0.0,Delivered
23,1395,2024-03-16,Cash on Delivery,Success,49344.0,1196.0,Delivered
24,1398,2024-03-16,Credit/Debit Card,Success,1248.0,312.0,Delivered
25,2145,2024-03-16,Easypaisa,Success,10026.0,1114.0,Delivered
26,1354,2024-03-17,Cash on Delivery,Success,68029.5,3580.5,Delivered
27,1496,2024-03-17,Cash on Delivery,Success,1863.0,207.0,Delivered
28,1649,2024-03-18,Cash on Delivery,Success,54558.0,6062.0,Delivered
29,1406,2024-03-19,JazzCash,Success,590.0,0.0,Delivered
30,303,2024-03-20,Cash on Delivery,Success,28943.5,4546.5,Cancelled
31,637,2024-03-20,Cash on Delivery,Success,2420.0,0.0,Returned
32,1138,2024-03-20,Cash on Delivery,Success,69524.0,636.0,Delivered
33,669,2024-03-21,Cash on Delivery,Success,11585.5,1254.5,Delivered
34,1452,2024-03-21,Easypaisa,Success,790.0,0.0,Delivered
35,453,2024-03-22,Credit/Debit Card,Success,14183.5,746.5,Delivered
36,1809,2024-03-22,Cash on Delivery,Success,12250.0,0.0,Delivered
37,1872,2024-03-22,JazzCash,Success,15349.0,121.0,Delivered
38,51,2024-03-23,Easypaisa,Success,2277.0,253.0,Delivered
39,486,2024-03-23,Easypaisa,Success,33080.0,7880.0,Delivered
40,1520,2024-03-23,Easypaisa,Success,1512.0,168.0,Delivered
41,1575,2024-03-23,Cash on Delivery,Success,57139.0,3031.0,Returned
42,2424,2024-03-23,Cash on Delivery,Success,2150.5,379.5,Delivered
43,138,2024-03-24,Cash on Delivery,Success,84090.0,0.0,Delivered
44,283,2024-03-24,Cash on Delivery,Success,13050.0,0.0,Delivered
45,58,2024-03-25,Cash on Delivery,Success,1130.0,0.0,Returned
46,209,2024-03-25,Cash on Delivery,Success,2440.0,0.0,Delivered
47,1427,2024-03-25,Cash on Delivery,Success,52673.0,4337.0,Delivered
48,1108,2024-03-26,JazzCash,Success,2440.0,0.0,Delivered
49,127,2024-03-27,Cash on Delivery,Success,39750.0,0.0,Delivered
50,1198,2024-03-27,Cash on Delivery,Success,51580.0,0.0,Delivered
51,1293,2024-03-28,Cash on Delivery,Success,1520.0,0.0,Delivered
52,1496,2024-03-29,Cash on Delivery,Success,18673.5,816.5,Delivered
53,2106,2024-03-29,Cash on Delivery,Success,33496.0,244.0,Delivered
54,2481,2024-03-29,Cash on Delivery,Success,56783.0,27.0,Delivered
55,972,2024-03-30,Cash on Delivery,Success,13640.0,0.0,Returned
56,2171,2024-03-30,Cash on Delivery,Success,58360.0,0.0,Delivered
57,2352,2024-03-30,Cash on Delivery,Success,48468.0,612.0,Returned
58,303,2024-03-31,Cash on Delivery,Success,1200.0,0.0,Returned
59,863,2024-03-31,Cash on Delivery,Success,25763.5,4546.5,Delivered
60,2085,2024-03-31,Easypaisa,Success,27960.5,1289.5,Delivered
61,2471,2024-03-31,Cash on Delivery,Success,5570.0,0.0,Returned
62,1575,2024-04-01,JazzCash,Success,1282.5,67.5,Returned
63,891,2024-04-02,Cash on Delivery,Success,6641.5,278.5,Delivered
64,1452,2024-04-02,Easypaisa,Success,10440.0,2610.0,Delivered
65,1575,2024-04-02,Easypaisa,Success,1073.5,56.5,Delivered
66,10,2024-04-03,Cash on Delivery,Success,25763.5,4546.5,Returned
67,2316,2024-04-04,Cash on Delivery,Success,1680.0,0.0,Delivered
68,663,2024-04-05,Cash on Delivery,Success,1282.5,67.5,Delivered
69,691,2024-04-05,Cash on Delivery,Success,209749.0,9041.0,Returned
70,1186,2024-04-06,Cash on Delivery,Success,39400.0,0.0,Returned
71,1406,2024-04-06,Cash on Delivery,Success,25790.0,0.0,Delivered
72,1496,2024-04-07,Cash on Delivery,Success,14418.0,152.0,Delivered
73,1575,2024-04-08,Credit/Debit Card,Success,25763.5,4546.5,Delivered
74,1825,2024-04-08,Cash on Delivery,Success,14930.0,0.0,Delivered
75,1860,2024-04-08,Easypaisa,Success,1130.0,0.0,Delivered
76,388,2024-04-09,Cash on Delivery,Success,25628.0,4092.0,Returned
77,1520,2024-04-09,Cash on Delivery,Success,1596.0,84.0,Returned
78,1358,2024-04-10,JazzCash,Success,31300.0,0.0,Delivered
79,1575,2024-04-10,Cash on Delivery,Success,116711.0,12349.0,Delivered
80,1844,2024-04-10,Cash on Delivery,Success,194460.0,0.0,Delivered
81,2171,2024-04-10,Cash on Delivery,Success,100687.0,173.0,Delivered
82,341,2024-04-12,Cash on Delivery,Success,8970.0,0.0,Delivered
83,883,2024-04-12,Cash on Delivery,Success,8330.0,0.0,Returned
84,933,2024-04-13,Credit/Debit Card,Success,12958.0,682.0,Delivered
85,1004,2024-04-13,Easypaisa,Success,1715.0,255.0,Delivered
86,1452,2024-04-13,Cash on Delivery,Success,1350.0,0.0,Delivered
87,248,2024-04-14,Cash on Delivery,Success,28661.5,1508.5,Delivered
88,376,2024-04-15,JazzCash,Success,350.0,0.0,Delivered
89,1406,2024-04-16,Easypaisa,Success,590.0,0.0,Delivered
90,1875,2024-04-16,JazzCash,Success,52008.0,11672.0,Delivered
91,200,2024-04-18,Easypaisa,Success,3192.0,168.0,Delivered
92,2106,2024-04-18,JazzCash,Success,39400.0,0.0,Delivered
93,297,2024-04-21,Cash on Delivery,Success,5291.5,278.5,Delivered
94,1006,2024-04-21,Easypaisa,Success,24500.5,1289.5,Delivered
95,1185,2024-04-23,JazzCash,Success,53713.0,2827.0,Delivered
96,686,2024-04-24,Cash on Delivery,Success,167693.0,3017.0,Delivered
97,1285,2024-04-26,Credit/Debit Card,Success,1350.0,0.0,Delivered
98,272,2024-04-27,JazzCash,Success,540.0,60.0,Delivered
99,388,2024-04-27,Easypaisa,Success,32650.0,0.0,Delivered
100,2020,2024-04-28,Easypaisa,Success,4775.0,85.0,Returned
101,303,2024-04-29,Cash on Delivery,Success,13437.0,1493.0,Returned
102,3,2024-05-01,Easypaisa,Success,58360.0,0.0,Returned
103,297,2024-05-01,Cash on Delivery,Success,1350.0,0.0,Delivered
104,1431,2024-05-01,Cash on Delivery,Success,115850.0,0.0,Delivered
105,1809,2024-05-02,JazzCash,Success,59390.0,410.0,Delivered
106,519,2024-05-04,Easypaisa,Success,26100.0,0.0,Delivered
107,1178,2024-05-05,Easypaisa,Success,70528.0,612.0,Delivered
108,1709,2024-05-05,Cash on Delivery,Success,600.0,0.0,Returned
109,200,2024-05-06,Cash on Delivery,Success,71610.0,0.0,Delivered
110,891,2024-05-06,Cash on Delivery,Success,11637.5,612.5,Delivered
111,1825,2024-05-06,Cash on Delivery,Success,35286.0,8674.0,Delivered
112,421,2024-05-07,Cash on Delivery,Success,27320.0,170.0,Delivered
113,138,2024-05-08,Credit/Debit Card,Success,56540.0,0.0,Delivered
114,1575,2024-05-08,Cash on Delivery,Success,35460.0,3940.0,Delivered
115,1842,2024-05-10,Easypaisa,Success,46688.0,11672.0,Delivered
116,519,2024-05-12,JazzCash,Success,4840.0,0.0,Returned
117,556,2024-05-12,Cash on Delivery,Success,270.0,0.0,Returned
118,863,2024-05-12,Cash on Delivery,Success,1512.0,168.0,Delivered
119,127,2024-05-13,Cash on Delivery,Success,9632.0,328.0,Delivered
120,480,2024-05-14,Easypaisa,Success,2530.0,0.0,Delivered
121,1344,2024-05-14,Easypaisa,Success,58453.0,3017.0,Delivered
122,103,2024-05-15,Easypaisa,Success,110057.5,5792.5,Delivered
123,2171,2024-05-15,Easypaisa,Success,110057.5,5792.5,Delivered
124,1872,2024-05-17,Cash on Delivery,Success,1615.0,85.0,Delivered
125,3,2024-05-18,JazzCash,Success,4080.0,0.0,Delivered
126,1570,2024-05-19,Cash on Delivery,Success,84090.0,0.0,Returned
127,1539,2024-05-20,Easypaisa,Success,30310.0,0.0,Delivered
128,1952,2024-05-20,JazzCash,Success,7264.5,835.5,Delivered
129,2020,2024-05-20,Cash on Delivery,Success,250749.0,26411.0,Delivered
130,2420,2024-05-21,Cash on Delivery,Success,64756.0,5954.0,Delivered
131,1799,2024-05-22,Cash on Delivery,Success,56031.0,2949.0,Delivered
132,711,2024-05-25,Cash on Delivery,Success,2070.0,0.0,Delivered
133,863,2024-05-25,JazzCash,Success,2743.5,286.5,Delivered
134,1521,2024-05-25,Easypaisa,Success,15220.0,0.0,Delivered
135,2020,2024-05-25,Cash on Delivery,Success,12250.0,0.0,Delivered
136,2313,2024-05-25,Cash on Delivery,Success,243.0,27.0,Delivered
137,3,2024-05-26,Cash on Delivery,Success,55442.0,2918.0,Delivered
138,839,2024-05-26,Cash on Delivery,Success,5570.0,0.0,Delivered
139,1217,2024-05-26,Easypaisa,Success,5440.0,0.0,Delivered
140,1313,2024-05-26,Easypaisa,Success,270.0,0.0,Delivered
141,2105,2024-05-26,Easypaisa,Success,42320.0,0.0,Delivered
142,785,2024-05-27,JazzCash,Success,27280.0,0.0,Delivered
143,1377,2024-05-27,Easypaisa,Success,39400.0,0.0,Delivered
144,1517,2024-05-28,Easypaisa,Success,110370.0,0.0,Delivered
145,2307,2024-05-28,Cash on Delivery,Success,31840.0,170.0,Delivered
146,545,2024-05-29,Cash on Delivery,Success,128546.5,6683.5,Delivered
147,1452,2024-05-29,Easypaisa,Success,1520.0,0.0,Delivered
148,299,2024-05-31,Cash on Delivery,Success,39033.0,4337.0,Delivered
149,557,2024-05-31,Cash on Delivery,Success,80959.0,4261.0,Delivered
150,2120,2024-05-31,Cash on Delivery,Success,5250.0,0.0,Returned
151,860,2024-06-01,Easypaisa,Success,1292.0,228.0,Delivered
152,115,2024-06-02,Cash on Delivery,Success,221531.5,43738.5,Delivered
153,711,2024-06-03,Cash on Delivery,Success,1520.0,0.0,Delivered
154,533,2024-06-04,Cash on Delivery,Success,1130.0,0.0,Delivered
155,1366,2024-06-04,Cash on Delivery,Success,25514.0,3116.0,Returned
156,387,2024-06-05,Cash on Delivery,Success,42784.0,226.0,Cancelled
157,1358,2024-06-05,Cash on Delivery,Success,228625.0,135.0,Delivered
158,1741,2024-06-05,Easypaisa,Success,59470.0,3130.0,Delivered
159,933,2024-06-06,Cash on Delivery,Success,1215.0,135.0,Delivered
160,1138,2024-06-09,Cash on Delivery,Success,22379.0,741.0,Delivered
161,2313,2024-06-09,Cash on Delivery,Success,3750.0,0.0,Returned
162,2463,2024-06-09,Credit/Debit Card,Success,14930.0,0.0,Delivered
163,299,2024-06-11,Cash on Delivery,Success,590.0,0.0,Delivered
164,1427,2024-06-11,Cash on Delivery,Success,24766.5,1303.5,Delivered
165,453,2024-06-12,Cash on Delivery,Success,65287.0,7913.0,Delivered
166,2310,2024-06-12,Cash on Delivery,Success,4547.5,802.5,Delivered
167,1313,2024-06-13,Cash on Delivery,Success,26920.0,0.0,Delivered
168,1963,2024-06-13,Cash on Delivery,Success,93814.5,16555.5,Delivered
169,2313,2024-06-14,Cash on Delivery,Success,104136.5,23323.5,Delivered
170,1452,2024-06-15,Credit/Debit Card,Success,26874.0,2986.0,Delivered
171,1521,2024-06-15,Cash on Delivery,Success,28794.5,1515.5,Delivered
172,1945,2024-06-15,Credit/Debit Card,Success,115171.5,278.5,Delivered
173,465,2024-06-16,JazzCash,Success,130110.0,0.0,Delivered
174,788,2024-06-17,Cash on Delivery,Success,16698.0,312.0,Delivered
175,1354,2024-06-18,JazzCash,Success,4605.0,135.0,Delivered
176,463,2024-06-19,JazzCash,Success,6004.0,316.0,Delivered
177,1029,2024-06-19,Credit/Debit Card,Success,590.0,0.0,Delivered
178,486,2024-06-20,Cash on Delivery,Success,94084.0,23326.0,Delivered
179,2171,2024-06-20,Easypaisa,Success,4840.0,0.0,Delivered
180,785,2024-06-21,Cash on Delivery,Success,2530.0,0.0,Delivered
181,1599,2024-06-21,Cash on Delivery,Success,2440.0,0.0,Delivered
182,127,2024-06-23,Cash on Delivery,Success,115850.0,0.0,Delivered
183,2411,2024-06-23,Cash on Delivery,Success,3114.0,346.0,Delivered
184,1358,2024-06-24,Cash on Delivery,Success,10254.0,1206.0,Delivered
185,1769,2024-06-25,Cash on Delivery,Success,55770.0,3190.0,Delivered
186,894,2024-06-26,Easypaisa,Success,40846.0,1364.0,Delivered
187,691,2024-06-27,Easypaisa,Success,132624.0,14736.0,Returned
188,2270,2024-06-27,Cash on Delivery,Success,71722.5,9227.5,Returned
189,320,2024-06-28,Easypaisa,Success,1017.0,113.0,Delivered
190,1772,2024-06-29,Easypaisa,Success,3316.5,103.5,Delivered
191,30,2024-06-30,Cash on Delivery,Success,180030.0,0.0,Cancelled
192,1443,2024-07-01,Cash on Delivery,Success,115850.0,0.0,Cancelled
193,1960,2024-07-01,JazzCash,Success,6170.0,30.0,Delivered
194,2382,2024-07-01,Cash on Delivery,Success,1073.5,56.5,Delivered
195,611,2024-07-02,Cash on Delivery,Success,115850.0,0.0,Cancelled
196,1547,2024-07-02,JazzCash,Success,57080.0,60.0,Delivered
197,1739,2024-07-02,JazzCash,Success,114880.0,5630.0,Delivered
198,3,2024-07-03,Easypaisa,Success,833.0,27.0,Delivered
199,1749,2024-07-03,Credit/Debit Card,Failed,5780.0,0.0,Cancelled
200,1412,2024-07-04,Cash on Delivery,Success,41030.0,0.0,Delivered
201,2039,2024-07-04,Cash on Delivery,Success,2527.0,133.0,Delivered
202,1313,2024-07-05,Cash on Delivery,Success,1501.0,79.0,Delivered
203,2420,2024-07-05,Cash on Delivery,Success,11745.0,1305.0,Delivered
204,3,2024-07-07,Cash on Delivery,Success,6004.0,316.0,Delivered
205,505,2024-07-07,Cash on Delivery,Success,2299.0,121.0,Cancelled
206,1690,2024-07-07,Cash on Delivery,Success,3180.0,0.0,Delivered
207,2471,2024-07-07,Cash on Delivery,Success,1282.5,67.5,Delivered
208,756,2024-07-08,Cash on Delivery,Success,711.0,79.0,Returned
209,686,2024-07-10,Cash on Delivery,Success,10912.0,2728.0,Delivered
210,1585,2024-07-10,Credit/Debit Card,Success,9416.0,824.0,Delivered
211,328,2024-07-11,Credit/Debit Card,Success,2128.0,532.0,Delivered
212,701,2024-07-11,Credit/Debit Card,Success,84090.0,0.0,Delivered
213,263,2024-07-12,Cash on Delivery,Success,30445.5,1684.5,Delivered
214,871,2024-07-13,Cash on Delivery,Success,1180.0,0.0,Returned
215,2375,2024-07-13,Cash on Delivery,Success,25457.5,4392.5,Delivered
216,65,2024-07-15,Cash on Delivery,Success,2862.0,318.0,Delivered
217,956,2024-07-15,Cash on Delivery,Success,38290.0,6470.0,Delivered
218,70,2024-07-16,Credit/Debit Card,Success,2299.0,121.0,Delivered
219,1109,2024-07-16,Cash on Delivery,Success,35070.0,0.0,Delivered
220,2182,2024-07-16,Cash on Delivery,Success,82848.0,1012.0,Returned
221,663,2024-07-18,Cash on Delivery,Success,1350.0,0.0,Delivered
222,1251,2024-07-18,JazzCash,Success,39400.0,0.0,Delivered
223,1398,2024-07-18,Easypaisa,Success,15743.5,746.5,Delivered
224,1942,2024-07-18,Cash on Delivery,Success,1350.0,0.0,Returned
225,30,2024-07-19,Cash on Delivery,Success,2440.0,0.0,Delivered
226,1354,2024-07-19,Cash on Delivery,Success,3753.5,126.5,Delivered
227,1136,2024-07-20,Cash on Delivery,Success,17350.0,0.0,Delivered
228,1741,2024-07-20,Cash on Delivery,Success,30310.0,0.0,Delivered
